Game_Date,Away_Team,Away_Team_Points,Home_Team,Home_Team_Points,Leading_Scorer,Leading_Scorer_Team,Leading_Scorer_Points,Leading_Scorer_EFG
2012-11-01,OKC,84,SAS,86,Kevin Durant,OKC,23,.528
2012-11-02,POR,92,OKC,106,Russell Westbrook,OKC,32,.542
2012-11-04,ATL,104,OKC,95,Kevin Martin,OKC,28,1
2012-11-06,TOR,88,OKC,108,Russell Westbrook,OKC,19,.5
2012-11-08,OKC,97,CHI,91,Luol Deng,CHI,27,.595
2012-11-10,MIN,80,CHI,87,Nikola Pekovic,MIN,18,.615
2012-11-12,MIN,90,DAL,82,Darren Collison,DAL,21,.5
2012-11-14,WAS,101,DAL,107,O.J. Mayo,DAL,25,.633
2012-11-16,DAL,83,IND,103,O.J. Mayo,DAL,19,.538
2012-11-17,DAL,103,CLE,95,Kyrie Irving,CLE,26,.571
2012-11-18,CLE,79,PHI,86,Evan Turner,PHI,19,.708
2012-11-20,TOR,98,PHI,106,DeMar DeRozan,TOR,24,.472
2012-11-21,TOR,97,CHA,98,Andrea Bargnani,TOR,25,.588
2012-11-23,TOR,90,DET,91,Andrea Bargnani,TOR,34,.725
2012-11-25,SAS,111,TOR,106,Tony Parker,SAS,32,.537
2012-11-26,SAS,118,WAS,92,Jordan Crawford,WAS,19,.594
2012-11-28,POR,82,WAS,84,Nicolas Batum,POR,20,.567
2012-11-30,POR,78,BOS,96,LaMarcus Aldridge,POR,23,.5
2012-12-01,POR,118,CLE,117,Damian Lillard,POR,24,.647
2012-12-03,POR,118,CHA,112,Ben Gordon,CHA,29,.813
2012-12-05,NYK,100,CHA,98,Kemba Walker,CHA,25,.6
2012-12-07,CHA,93,MIL,108,Ersan Ilyasova,MIL,21,.471
2012-12-09,MIL,97,BKN,88,Brandon Jennings,MIL,26,.526
2012-12-12,SAC,85,MIL,98,Brandon Jennings,MIL,19,.429
2012-12-14,MIL,90,CLE,86,Monta Ellis,MIL,33,.521
2012-12-15,LAC,111,MIL,85,Matt Barnes,LAC,21,.8
2012-12-17,LAC,88,DET,76,Brandon Knight,DET,16,.406
2012-12-19,DET,91,TOR,97,Greg Monroe,DET,35,.636
2012-12-21,WAS,68,DET,100,Jordan Crawford,WAS,20,.435
2012-12-22,DET,96,WAS,87,Jordan Crawford,WAS,21,.385
2012-12-26,CLE,87,WAS,84,Kyrie Irving,CLE,26,.413
2012-12-28,ATL,102,CLE,94,Kyrie Irving,CLE,28,.7
2012-12-29,CLE,100,BKN,103,Brook Lopez,BKN,35,.65
2012-12-31,BKN,73,SAS,104,Tony Parker,SAS,20,.731
2013-01-02,SAS,117,MIL,110,Brandon Jennings,MIL,31,.519
2013-01-04,HOU,115,MIL,101,James Harden,HOU,29,.667
2013-01-05,HOU,112,CLE,104,Kyrie Irving,CLE,30,.479
2013-01-07,CLE,92,CHI,118,Carlos Boozer,CHI,24,.5
2013-01-09,MIL,104,CHI,96,Brandon Jennings,MIL,35,.604
2013-01-11,DET,103,MIL,87,Greg Monroe,DET,26,.579
2013-01-12,UTA,90,DET,87,Al Jefferson,UTA,20,.556
2013-01-14,MIA,97,UTA,104,LeBron James,MIA,32,.737
2013-01-16,MIA,92,GSW,75,LeBron James,MIA,25,.575
2013-01-17,MIA,99,LAL,90,LeBron James,MIA,39,.7
2013-01-23,TOR,116,MIA,123,Dwyane Wade,MIA,35,.684
2013-01-25,DET,88,MIA,110,Greg Monroe,DET,31,.706
2013-01-27,DET,104,ORL,102,Brandon Knight,DET,31,.906
2013-01-29,MIL,117,DET,90,Brandon Jennings,MIL,30,.711
2013-01-30,CHI,104,MIL,88,Nate Robinson,CHI,24,.909
2013-02-01,CHI,89,BKN,93,Brook Lopez,BKN,20,.563
2013-02-05,LAL,92,BKN,83,Brook Lopez,BKN,30,.44
2013-02-06,BKN,93,DET,90,Greg Monroe,DET,23,.625
2013-02-08,SAS,109,DET,119,Tony Parker,SAS,31,.625
2013-02-10,SAS,111,BKN,86,Tony Parker,SAS,29,.595
2013-02-11,SAS,103,CHI,89,Kawhi Leonard,SAS,26,.639
2013-02-13,SAS,96,CLE,95,Tony Parker,SAS,24,.571
2013-02-19,SAS,108,SAC,102,Tony Parker,SAS,30,.5
2013-02-21,SAS,116,LAC,90,Tony Parker,SAS,31,.75
2013-02-22,SAS,101,GSW,107,Jarrett Jack,GSW,30,.523
